step: 5, action: Close_NoOpen, current_price: 30268.03, current_worth: 1000000, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 6, action: Close_NoOpen, current_price: 29084.37, current_worth: 1000000, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 7, action: Close_NoOpen, current_price: 29635.6, current_worth: 1000000, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 8, action: Close_NoOpen, current_price: 29507.5, current_worth: 1000000, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 9, action: Hold, current_price: 29167.72, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 10, action: Close_NoOpen, current_price: 28593.31, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 11, action: Hold, current_price: 28998.65, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 12, action: Close_NoOpen, current_price: 29444.74, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 13, action: Close_NoOpen, current_price: 31718.42, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 14, action: Close_NoOpen, current_price: 31775.65, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 15, action: Hold, current_price: 29782.58, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 16, action: Close_NoOpen, current_price: 30430.04, current_worth: 1000000.0, realized_p: 0, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 17, action: Long_Open, current_price: 29671.45, current_worth: 1000000.0, realized_p: 0, open_positions_held: 1, quantity_held:3.370243112486919, open_original_value:100000.0, open_current_value:100000.0
