episide: 810, score: 469.6440451714583, avg score: 427.0395437493977, best_score: 470.696105619096
episide: 811, score: 480.45421610611504, avg score: 427.6216140868885, best_score: 470.696105619096
episide: 812, score: 474.8643006927089, avg score: 427.94353675288323, best_score: 470.696105619096
episide: 813, score: 465.29005288045806, avg score: 428.1405130094801, best_score: 470.696105619096
episide: 814, score: 459.3232287274493, avg score: 428.13879937733526, best_score: 470.696105619096
episide: 815, score: 460.2393960525636, avg score: 429.56507847154893, best_score: 470.696105619096
episide: 816, score: 474.29603957885297, avg score: 431.916526026959, best_score: 470.696105619096
episide: 817, score: 470.83366791037514, avg score: 434.0530930958589, best_score: 470.696105619096
episide: 818, score: 464.0988329100592, avg score: 436.01156652549224, best_score: 470.696105619096
episide: 819, score: 479.23357166642677, avg score: 438.17018038121205, best_score: 470.696105619096
episide: 820, score: 466.10276198229826, avg score: 440.0554901343596, best_score: 470.696105619096
episide: 821, score: 447.6577525031786, avg score: 441.4193770398433, best_score: 470.696105619096
episide: 822, score: 467.2289429658011, avg score: 443.13300753740435, best_score: 470.696105619096
episide: 823, score: 467.89923052216085, avg score: 444.9000733115321, best_score: 470.696105619096
episide: 824, score: 463.41515444828474, avg score: 446.87280483235367, best_score: 470.696105619096
episide: 825, score: 466.5131377104427, avg score: 448.86661702568847, best_score: 470.696105619096
episide: 826, score: 461.29889247208655, avg score: 450.7671468069126, best_score: 470.696105619096
episide: 827, score: 467.9830562415263, avg score: 452.65432941303567, best_score: 470.696105619096
episide: 828, score: 432.22526541767473, avg score: 453.6803804524715, best_score: 470.696105619096
episide: 829, score: 415.2729177317896, avg score: 453.9875883288857, best_score: 470.696105619096
episide: 830, score: 452.04876239482854, avg score: 455.1688269341983, best_score: 470.696105619096
episide: 831, score: 438.096467799701, avg score: 455.86133075963653, best_score: 470.696105619096
episide: 832, score: 462.2330641499823, avg score: 457.12079662060876, best_score: 470.696105619096
episide: 833, score: 464.58163258971086, avg score: 457.02648712220116, best_score: 470.696105619096
episide: 834, score: 439.0582188146088, avg score: 457.24973558245506, best_score: 470.696105619096
episide: 835, score: 452.07589179963367, avg score: 457.6478820551021, best_score: 470.696105619096
episide: 836, score: 465.74429818930633, avg score: 457.81797869598427, best_score: 470.696105619096
episide: 837, score: 465.3358732223763, avg score: 457.71141879230834, best_score: 470.696105619096
episide: 838, score: 441.84436602678795, avg score: 457.1583936601065, best_score: 470.696105619096
episide: 839, score: 462.20733078855534, avg score: 457.16168339922706, best_score: 470.696105619096
episide: 840, score: 410.64584167427574, avg score: 458.6034720396903, best_score: 470.696105619096
episide: 841, score: 430.9103547585044, avg score: 459.41465924352286, best_score: 470.696105619096
episide: 842, score: 381.00480128083444, avg score: 459.2591140380526, best_score: 470.696105619096
episide: 843, score: 419.3970815255845, avg score: 460.6036810389809, best_score: 470.696105619096
episide: 844, score: 451.31860526089287, avg score: 461.4468562036941, best_score: 470.696105619096
episide: 845, score: 454.6080825416066, avg score: 461.1668958280936, best_score: 470.696105619096
episide: 846, score: 462.07368609100587, avg score: 460.94363044725395, best_score: 470.696105619096
episide: 847, score: 474.58314499731756, avg score: 460.5342007306245, best_score: 470.696105619096
episide: 848, score: 472.8654477360985, avg score: 460.08933773059385, best_score: 470.696105619096
episide: 849, score: 456.56577763268587, avg score: 459.4217746162623, best_score: 470.696105619096
episide: 850, score: 448.5330165910882, avg score: 458.5977016138836, best_score: 470.696105619096
episide: 851, score: 472.40033870225994, avg score: 458.5358663241312, best_score: 470.696105619096
episide: 852, score: 458.00007890563677, avg score: 458.3736773898272, best_score: 470.696105619096
episide: 853, score: 444.7058093727468, avg score: 457.5737923574696, best_score: 470.696105619096
episide: 854, score: 369.25856106973964, avg score: 455.13787846237835, best_score: 470.696105619096
episide: 855, score: 380.90466237456917, avg score: 452.9143443199492, best_score: 470.696105619096
episide: 856, score: 451.42136401433, avg score: 452.3049505892374, best_score: 470.696105619096
episide: 857, score: 435.0599197539194, avg score: 451.4395070497183, best_score: 470.696105619096
episide: 858, score: 407.4942636996423, avg score: 450.37015348694126, best_score: 470.696105619096
episide: 859, score: 393.7624826299102, avg score: 449.452273801597, best_score: 470.696105619096
episide: 860, score: 418.7339225786915, avg score: 448.4340713497417, best_score: 470.696105619096
episide: 861, score: 411.83168667123897, avg score: 447.0616207610441, best_score: 470.696105619096
episide: 862, score: 383.78679576087404, avg score: 445.2400706624074, best_score: 470.696105619096
episide: 863, score: 442.86965065866224, avg score: 444.7916626179715, best_score: 470.696105619096
episide: 864, score: 435.3458639736485, avg score: 444.3121153228956, best_score: 470.696105619096
episide: 865, score: 461.9373840840436, avg score: 444.34607508352514, best_score: 470.696105619096
episide: 866, score: 449.87702659261487, avg score: 443.85769482380033, best_score: 470.696105619096
