episide: 9501, score: 596.2289897559347, avg score: 660.1111892919658, best_score: 732.09831910608
episide: 9502, score: 676.0309340502403, avg score: 664.299494015152, best_score: 732.09831910608
episide: 9503, score: 575.6324511823657, avg score: 667.620229141678, best_score: 732.09831910608
episide: 9504, score: 670.2970219663605, avg score: 671.2619161254723, best_score: 732.09831910608
episide: 9505, score: 587.3558473865157, avg score: 672.5328689192614, best_score: 732.09831910608
episide: 9506, score: 648.5272700928048, avg score: 674.6447088801573, best_score: 732.09831910608
episide: 9507, score: 625.6050892193681, avg score: 673.491044871559, best_score: 732.09831910608
episide: 9508, score: 548.0267464265332, avg score: 671.5182672001937, best_score: 732.09831910608
episide: 9509, score: 544.8368442329437, avg score: 668.5848958213079, best_score: 732.09831910608
episide: 9510, score: 690.6818999453182, avg score: 668.1733377243343, best_score: 732.09831910608
episide: 9511, score: 646.7726895795108, avg score: 666.8730099676964, best_score: 732.09831910608
episide: 9512, score: 523.8778247547176, avg score: 663.5925657380351, best_score: 732.09831910608
episide: 9513, score: 566.0235603912496, avg score: 662.2919930161734, best_score: 732.09831910608
episide: 9514, score: 702.0811247246075, avg score: 662.3153800947485, best_score: 732.09831910608
episide: 9515, score: 336.35001229553296, avg score: 654.7086915105245, best_score: 732.09831910608
episide: 9516, score: 273.547393674109, avg score: 645.6668217241131, best_score: 732.09831910608
episide: 9517, score: 620.1404201919776, avg score: 643.2879697419451, best_score: 732.09831910608
episide: 9518, score: 554.6503593926634, avg score: 639.7200317627828, best_score: 732.09831910608
episide: 9519, score: 414.54407353207637, avg score: 634.0110017191028, best_score: 732.09831910608
episide: 9520, score: 488.441704756292, avg score: 629.903017378935, best_score: 732.09831910608
episide: 9521, score: 559.5432836483787, avg score: 627.8172070712831, best_score: 732.09831910608
episide: 9522, score: 376.4972260801281, avg score: 621.0806344560956, best_score: 732.09831910608
episide: 9523, score: 524.3943888031257, avg score: 619.9162081176534, best_score: 732.09831910608
episide: 9524, score: 689.9025002160718, avg score: 619.8636709375928, best_score: 732.09831910608
episide: 9525, score: 704.7078321796932, avg score: 619.8434221397783, best_score: 732.09831910608
episide: 9526, score: 721.3441595260055, avg score: 619.7936035727413, best_score: 732.09831910608
episide: 9527, score: 655.7130730943459, avg score: 619.5781715073165, best_score: 732.09831910608
episide: 9528, score: 700.8025620645353, avg score: 619.8182351149807, best_score: 732.09831910608
episide: 9529, score: 710.2900733499068, avg score: 619.2991616140969, best_score: 732.09831910608
episide: 9530, score: 711.086966089218, avg score: 618.7541757870738, best_score: 732.09831910608
episide: 9531, score: 654.5645985156274, avg score: 616.976367491877, best_score: 732.09831910608
episide: 9532, score: 742.6007070610599, avg score: 616.7398007039166, best_score: 732.09831910608
episide: 9533, score: 756.1674445276483, avg score: 617.3634612778015, best_score: 732.09831910608
