episide: 9516, score: 1321.9473922373545, avg score: 1281.46284976844, best_score: 1356.5776391358204
episide: 9517, score: 1284.6532425074581, avg score: 1280.2401957531224, best_score: 1356.5776391358204
episide: 9518, score: 1277.1578737030186, avg score: 1279.5512754544982, best_score: 1356.5776391358204
episide: 9519, score: 1239.86758002335, avg score: 1282.4820823842563, best_score: 1356.5776391358204
episide: 9520, score: 1247.3987493152624, avg score: 1283.7630483184462, best_score: 1356.5776391358204
episide: 9521, score: 1367.1775832282428, avg score: 1284.6145133886807, best_score: 1356.5776391358204
episide: 9522, score: 1361.8104409119196, avg score: 1284.9665509678246, best_score: 1356.5776391358204
episide: 9523, score: 1269.6734138659228, avg score: 1282.6215940199231, best_score: 1356.5776391358204
episide: 9524, score: 1333.3379517573294, avg score: 1281.852413570982, best_score: 1356.5776391358204
episide: 9525, score: 1283.301926816274, avg score: 1278.9138148958293, best_score: 1356.5776391358204
episide: 9526, score: 1375.2413861408127, avg score: 1281.6552434531552, best_score: 1356.5776391358204
episide: 9527, score: 1312.4612494565697, avg score: 1279.8039931136598, best_score: 1356.5776391358204
episide: 9528, score: 1275.5427328513724, avg score: 1278.603922530296, best_score: 1356.5776391358204
episide: 9529, score: 1237.0369087628187, avg score: 1279.3988335246584, best_score: 1356.5776391358204
episide: 9530, score: 1261.218977791462, avg score: 1276.461804505794, best_score: 1356.5776391358204
episide: 9531, score: 1322.4912058381256, avg score: 1276.0533195760906, best_score: 1356.5776391358204
episide: 9532, score: 1394.198376787714, avg score: 1277.7796612891905, best_score: 1356.5776391358204
episide: 9533, score: 1290.6709172331584, avg score: 1276.399462990906, best_score: 1356.5776391358204
episide: 9534, score: 1271.7176584531917, avg score: 1277.2911156057928, best_score: 1356.5776391358204
episide: 9535, score: 1109.2659891931964, avg score: 1272.5075869596883, best_score: 1356.5776391358204
episide: 9536, score: 1073.3181757024588, avg score: 1264.8338406031583, best_score: 1356.5776391358204
episide: 9537, score: 1304.1571955435807, avg score: 1263.847935008068, best_score: 1356.5776391358204
episide: 9538, score: 1401.6704571958996, avg score: 1265.5345696813758, best_score: 1356.5776391358204
episide: 9539, score: 1384.3815962331184, avg score: 1267.7556357098338, best_score: 1356.5776391358204
episide: 9540, score: 1381.4730861851249, avg score: 1269.0435212548175, best_score: 1356.5776391358204
episide: 9541, score: 1155.8397481603697, avg score: 1266.256073456615, best_score: 1356.5776391358204
episide: 9542, score: 994.5832085831869, avg score: 1259.2042134727837, best_score: 1356.5776391358204
episide: 9543, score: 832.9522404932413, avg score: 1247.6093479898707, best_score: 1356.5776391358204
episide: 9544, score: 978.9292076672211, avg score: 1238.7875559196775, best_score: 1356.5776391358204
episide: 9545, score: 1123.8422043763542, avg score: 1233.9435689830154, best_score: 1356.5776391358204
episide: 9546, score: 1247.134352804274, avg score: 1230.382867774154, best_score: 1356.5776391358204
episide: 9547, score: 1284.2706971531725, avg score: 1227.872963026396, best_score: 1356.5776391358204
episide: 9548, score: 1273.6530551606331, avg score: 1228.9881773990573, best_score: 1356.5776391358204
episide: 9549, score: 1262.0928984226439, avg score: 1228.3914584782633, best_score: 1356.5776391358204
episide: 9550, score: 1210.6658105967615, avg score: 1226.8240347955943, best_score: 1356.5776391358204
episide: 9551, score: 1240.3028691011223, avg score: 1241.6410354716322, best_score: 1356.5776391358204
episide: 9552, score: 1149.3593274488892, avg score: 1244.0757647091405, best_score: 1356.5776391358204
