piside: 515, score: 707.7656486172405, avg score: 620.7767512689095, best_score: 623.7224165011878
saving models ...
episide: 516, score: 726.5186685526916, avg score: 627.3646799773899, best_score: 627.3646799773899
episide: 517, score: 512.0853848874197, avg score: 626.401956498768, best_score: 627.3646799773899
saving models ...
episide: 518, score: 630.3377361397426, avg score: 627.6977032464288, best_score: 627.6977032464288
saving models ...
episide: 519, score: 671.4962909297593, avg score: 629.4952062856281, best_score: 629.4952062856281
saving models ...
episide: 520, score: 531.2655238483161, avg score: 632.892571609528, best_score: 632.892571609528
episide: 521, score: 529.1966402071405, avg score: 632.1310820501101, best_score: 632.892571609528
episide: 522, score: 657.39659986068, avg score: 632.279769684256, best_score: 632.892571609528
episide: 523, score: 711.0706263376136, avg score: 632.3121759150417, best_score: 632.892571609528
saving models ...
episide: 524, score: 660.2759793963751, avg score: 633.834975564259, best_score: 633.834975564259
saving models ...
episide: 525, score: 700.7472053059089, avg score: 635.9643313185231, best_score: 635.9643313185231
saving models ...
episide: 526, score: 787.6732825882749, avg score: 640.902414222998, best_score: 640.902414222998
saving models ...
episide: 527, score: 751.6885554272184, avg score: 645.6786426438389, best_score: 645.6786426438389
saving models ...
episide: 528, score: 792.0292392646732, avg score: 650.8302795012576, best_score: 650.8302795012576
episide: 529, score: 498.8149897448604, avg score: 646.1615311042144, best_score: 650.8302795012576
episide: 530, score: 618.7764054754292, avg score: 644.0715606598692, best_score: 650.8302795012576
episide: 531, score: 674.2374153410004, avg score: 644.6677052184771, best_score: 650.8302795012576
episide: 532, score: 607.1711377587438, avg score: 641.3263863027486, best_score: 650.8302795012576
episide: 533, score: 551.3191863664622, avg score: 638.0541170172689, best_score: 650.8302795012576
episide: 534, score: 772.224053330345, avg score: 639.0686113930083, best_score: 650.8302795012576
episide: 535, score: 641.5949578087723, avg score: 638.8036413515343, best_score: 650.8302795012576
episide: 536, score: 559.8471621213172, avg score: 635.9602795599901, best_score: 650.8302795012576
episide: 537, score: 627.7522220245056, avg score: 639.0365469577049, best_score: 650.8302795012576
episide: 538, score: 513.2190100225322, avg score: 637.3360589323217, best_score: 650.8302795012576
episide: 539, score: 647.6569519647222, avg score: 636.7777318172081, best_score: 650.8302795012576
episide: 540, score: 536.4031311848987, avg score: 635.0052393534826, best_score: 650.8302795012576
episide: 541, score: 677.5121973871263, avg score: 635.020718514649, best_score: 650.8302795012576
episide: 542, score: 628.544082384329, avg score: 633.1889379210883, best_score: 650.8302795012576
episide: 543, score: 613.1318026735717, avg score: 631.031447883044, best_score: 650.8302795012576
episide: 544, score: 700.4817993726243, avg score: 629.848806963901, best_score: 650.8302795012576
episide: 545, score: 596.4230586704977, avg score: 628.5547844919092, best_score: 650.8302795012576
episide: 546, score: 726.4033459275317, avg score: 630.4383463638657, best_score: 650.8302795012576
episide: 547, score: 612.3453844026761, avg score: 628.7980709080798, best_score: 650.8302795012576
episide: 548, score: 563.8870574736628, avg score: 632.9353781519314, best_score: 650.8302795012576
episide: 549, score: 673.5892702719311, avg score: 633.6789462279725, best_score: 650.8302795012576
episide: 550, score: 628.058195054619, avg score: 633.6928406451525, best_score: 650.8302795012576
episide: 551, score: 677.2846434675895, avg score: 634.9229178164876, best_score: 650.8302795012576
episide: 552, score: 655.0666350821305, avg score: 634.7413172165445, best_score: 650.8302795012576
episide: 553, score: 605.0300146621144, avg score: 633.4757359825078, best_score: 650.8302795012576
episide: 554, score: 698.7371812683933, avg score: 633.5399583279506, best_score: 650.8302795012576
episide: 555, score: 732.5594656003944, avg score: 633.3789347822366, best_score: 650.8302795012576
episide: 556, score: 490.330981451757, avg score: 630.4073996813545, best_score: 650.8302795012576
episide: 557, score: 617.6285655340622, avg score: 630.2849663730634, best_score: 650.8302795012576
episide: 558, score: 711.4264911476394, avg score: 631.8456467520468, best_score: 650.8302795012576
episide: 559, score: 648.7297600293289, avg score: 632.5030848690981, best_score: 650.8302795012576
episide: 560, score: 674.027288974533, avg score: 632.9493712884355, best_score: 650.8302795012576
episide: 561, score: 661.54073141601, avg score: 631.0432865146362, best_score: 650.8302795012576
episide: 562, score: 781.7186983711333, avg score: 642.9268154908442, best_score: 650.8302795012576
episide: 563, score: 713.3838179076627, avg score: 646.2441199486173, best_score: 650.8302795012576
episide: 564, score: 691.6246520972936, avg score: 647.960582502705, best_score: 650.8302795012576
episide: 565, score: 720.1706852226381, avg score: 648.208683234813, best_score: 650.8302795012576
episide: 566, score: 636.3913202412109, avg score: 646.4061362685834, best_score: 650.8302795012576
episide: 567, score: 664.2445095971822, avg score: 649.4493187627787, best_score: 650.8302795012576
episide: 568, score: 669.7465752295209, avg score: 650.2374955445742, best_score: 650.8302795012576
episide: 569, score: 499.69086527094044, avg score: 646.8013870313978, best_score: 650.8302795012576
episide: 570, score: 562.0457917702673, avg score: 647.4169923898368, best_score: 650.8302795012576
episide: 571, score: 572.8867696725722, avg score: 648.2907949791455, best_score: 650.8302795012576
episide: 572, score: 507.7098181764903, avg score: 645.2970593454617, best_score: 650.8302795012576
episide: 573, score: 682.6537707454133, avg score: 644.7287222336176, best_score: 650.8302795012576
episide: 574, score: 594.6980751494295, avg score: 643.4171641486788, best_score: 650.8302795012576
episide: 575, score: 617.7929199226184, avg score: 641.758078441013, best_score: 650.8302795012576
